,Actual_Temperature,Predicted_Temperature
0,11.427777,8.203914
1,11.361109,11.684641
2,10.42222,12.076049
3,10.833334,10.653778
4,10.911113,11.881342
5,12.583334,12.022143
6,14.955557,13.143542
7,17.222221,15.851604
8,17.95,18.475128
9,20.094444,18.28866
10,22.155556,20.865541
11,20.305557,23.15955
12,21.205557,20.634254
13,21.22778,21.352455
14,21.211111,20.885765
15,21.083334,20.644218
16,17.238892,20.688663
17,14.327779,15.933505
18,12.66111,12.788596
19,13.055556,11.972734
20,12.049999,13.594693
21,6.549999,12.267385
22,5.6055546,7.207695
23,4.9277773,6.89484
24,3.7722223,6.6666684
25,3.8444445,5.0551977
26,4.0944448,5.6366773
27,3.7499998,5.457976
28,3.800001,5.379223
29,6.8888884,5.284252
30,9.838888,8.781001
31,12.1055565,11.933617
32,12.755557,13.76115
33,14.905556,13.910683
34,16.133333,16.205843
35,17.016665,17.548443
36,17.17778,17.171967
37,17.155558,17.31272
38,15.338888,17.597315
39,15.066667,14.663747
40,12.283335,14.418267
41,11.327779,12.10783
42,8.883332,11.249027
43,8.283333,8.536983
44,7.3666663,8.275911
45,9.844443,7.749078
46,7.7111115,11.643055
47,11.388887,8.516024
48,7.883334,12.148368
49,6.8166666,8.49896
50,6.7055545,6.71598
51,6.144445,7.4945464
52,8.694446,7.4709883
53,12.43889,10.142692
54,16.016666,13.919193
55,17.755556,17.969093
56,18.955555,19.883848
57,19.005556,20.818035
58,20.044447,20.256138
59,20.166664,20.660944
60,19.972223,20.025705
61,20.088886,19.577711
62,19.21111,19.693214
63,17.977776,18.841505
64,16.333334,17.25402
65,14.472223,15.174627
66,12.450002,13.633179
67,11.3944435,11.20778
68,10.266668,11.233666
69,9.788887,10.183421
70,11.761111,9.834399
71,7.3222227,12.942308
72,12.055555,7.616562
73,9.394444,12.579203
74,6.916667,10.230928
75,5.6833344,7.0529838
76,7.3333325,6.160382
77,11.005556,8.114721
78,12.849999,12.949122
79,13.961111,14.210881
80,15.038888,15.237521
81,15.183332,16.49765
82,16.250002,14.815598
83,16.405554,16.337759
84,17.383333,17.304081
85,17.844444,17.33923
86,17.844444,18.763765
87,17.894442,17.713451
88,15.205555,17.196648
89,14.511109,14.824501
90,11.183334,14.428039
91,10.972222,11.090205
92,9.055554,11.337215
93,6.233332,9.661477
94,5.65,6.713193
95,7.777778,6.407908
96,6.4833326,8.784875
97,5.4944444,7.4112077
98,4.6777773,6.780113
99,4.333334,6.7452188
100,6.9499993,5.9124513
101,11.727777,8.541319
102,14.955557,13.917258
103,17.316668,17.362478
104,18.838886,19.907793
105,20.072222,20.600693
106,21.111109,21.032598
107,21.2,21.946722
108,22.244444,21.772795
109,22.288889,22.025988
110,22.200003,22.091597
111,22.244444,21.957207
112,19.994446,22.297646
113,16.399998,20.449137
114,12.338887,16.425135
115,10.672222,12.38167
116,10.816667,10.239961
117,9.933334,11.278586
118,8.772222,10.697348
119,9.116667,9.338222
120,7.250001,11.494423
121,6.672222,7.7140403
122,7.3333325,6.3858376
123,7.1111107,8.035733
124,9.733334,8.982593
125,12.572223,11.553144
126,16.11111,14.531717
127,18.866667,18.25283
128,20.1,21.344591
129,20.644444,21.50443
130,22.266666,20.292828
131,22.327776,23.004805
132,22.405556,22.922167
133,22.333334,22.173481
134,21.494444,22.14042
135,20.25,21.356531
136,17.977776,20.434052
137,16.372223,18.087896
138,13.91111,16.590548
139,13.244446,14.008073
140,10.88889,12.950904
141,8.472222,10.46133
142,8.4777775,8.785298
143,10.388889,9.561126
144,8.772222,11.585478
145,8.1,9.702612
146,7.6833334,8.288182
147,7.0111117,8.208206
148,8.783334,8.724988
149,12.066667,10.106639
150,14.072221,13.802984
151,17.333332,15.537211
152,18.033333,17.96016
153,20.138887,18.654083
154,21.250002,20.63263
155,21.377775,21.58054
156,22.311111,21.455761
157,22.311111,22.360554
158,21.41111,22.440931
159,21.272224,21.35181
160,18.027777,21.35974
161,15.427779,17.780096
162,11.316668,15.502258
163,9.5611105,10.473663
164,8.972223,9.383734
165,10.42222,9.2499485
166,9.36111,10.864913
167,9.544444,10.963208
168,10.394445,11.239859
169,9.377777,11.202989
170,6.1388893,9.228998
171,5.1555552,6.4102993
172,7.8500004,6.1667414
173,12.583334,9.455012
174,15.116668,14.825701
175,16.288889,17.10816
176,17.877777,17.236958
177,19.005556,19.010855
178,19.116667,19.887262
179,20.111109,19.834885
180,20.155554,20.182898
181,20.138887,20.487339
182,20.216667,20.859205
183,19.06667,20.62711
184,17.866667,18.40803
185,15.261112,17.201529
186,13.844445,14.402825
187,13.244446,13.332873
188,12.244445,12.788707
189,11.733333,11.797837
190,10.57778,11.389329
191,3.4944437,10.15409
192,7.8611116,2.7359822
193,7.172221,7.76918
194,5.666667,8.339683
195,5.0166664,5.8467727
196,6.0833325,6.2612324
197,8.005556,7.275182
198,11.316668,8.833577
199,14.072221,12.673017
200,16.077776,15.17136
201,17.266666,17.444534
202,17.333332,18.714895
203,17.383333,17.268024
204,17.355555,17.128624
205,17.377777,17.599386
206,17.4,17.409382
207,16.266666,17.083157
208,14.066666,16.037636
209,12.427778,13.471651
210,7.355555,11.738046
211,6.6666665,5.842131
212,6.1500006,5.420497
213,3.961112,6.210968
214,4.3777776,4.2821517
215,7.522222,4.7571864
216,2.733333,9.58241
217,2.2722223,4.1118164
218,1.7500006,2.324716
219,2.2277784,2.9651523
220,3.944445,4.2154026
221,8.927777,5.38405
222,12.900001,11.649173
223,16.161112,15.630297
224,17.211113,18.35791
225,17.850002,18.050426
226,17.938887,17.420744
227,19.027779,17.678013
228,19.050001,19.425411
229,19.072224,18.693842
230,19.97778,17.918312
231,19.005556,20.184818
232,16.361109,18.791298
233,14.305556,15.792251
234,11.255554,13.751459
235,10.12222,10.774341
236,10.550001,9.549599
237,8.994446,10.603795
238,8.461111,9.352842
239,8.561111,9.402469
240,5.777777,9.650227
241,5.2222233,6.217591
242,5.783333,5.5189743
243,4.1555557,6.934004
244,7.816666,5.9736223
245,13.622222,9.2205515
246,17.688889,16.035177
247,19.905556,20.2132
248,20.044447,21.489014
249,22.194447,20.817299
250,22.266666,22.785814
251,21.255558,23.003788
252,20.994444,20.90794
253,18.905554,20.19944
254,17.93333,18.46451
255,13.955555,17.13351
256,12.822221,14.243745
257,12.966665,13.473749
258,12.199999,12.938195
259,11.105555,11.676908
260,10.588891,10.291923
